start_node,end_node,start_lon_deg,start_lat_deg,end_lon_deg,end_lat_deg,start_ground_elev_m,end_ground_elev_m,horizontal_distance_m,max_terrain_elev_m,max_terrain_lon_deg,max_terrain_lat_deg,cruise_altitude_m,start_work_altitude_m,end_work_altitude_m,climb_height_m,descent_height_m
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188
O01,S002,109.2308517,23.0085095,109.2585519,23.0703271,127.7,189.5,7411.310455084183,258.9542541503906,109.25412936417273,23.06046161863697,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375
O01,S004,109.2308517,23.0085095,109.2381714,23.0778414,127.7,198.3,7714.6964491171675,348.2391662597656,109.23645095218417,23.061551854193596,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656
O01,S005,109.2308517,23.0085095,109.2283003,23.0561338,127.7,165.0,5280.606936873044,276.410888671875,109.22922566076903,23.038864969882013,326.410888671875,127.7,195.0,198.710888671875,131.410888671875
O01,S006,109.2308517,23.0085095,109.1997836,23.007714,127.7,284.8,3186.208178413656,316.09783935546875,109.20343007172423,23.007807684273164,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874
O01,S007,109.2308517,23.0085095,109.1928191,23.0294186,127.7,318.5,4534.460566816074,451.8304748535156,109.20235973191217,23.024174937102178,501.8304748535156,127.7,348.5,374.13047485351564,153.33047485351562
O01,S008,109.2308517,23.0085095,109.2127472,23.0795113,127.7,240.9,8079.033112423187,322.9093322753906,109.21348653095218,23.07661332041865,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065
O01,S009,109.2308517,23.0085095,109.2541424,23.0552989,127.7,200.0,5705.144962277037,243.22891235351562,109.2509015231663,23.048790360240837,293.2289123535156,127.7,230.0,165.52891235351564,63.228912353515625
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123
O01,S011,109.2308517,23.0085095,109.2203356,23.0319231,127.7,182.1,2808.074232681646,243.34902954101562,109.2227411985111,23.02656792944107,293.3490295410156,127.7,212.1,165.64902954101564,81.24902954101563
O01,S012,109.2308517,23.0085095,109.2831357,23.054464,127.7,249.8,7390.491686977874,363.2245788574219,109.2750733798221,23.047380880440286,413.2245788574219,127.7,279.8,285.5245788574219,133.42457885742186
O01,S013,109.2308517,23.0085095,109.2713839,23.0310882,127.7,321.7,4849.242377230511,349.18182373046875,109.26963222962095,23.030112793080363,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876
O01,S014,109.2308517,23.0085095,109.2835966,23.0052097,127.7,321.0,5419.60185821314,541.9473876953125,109.27689435174736,23.005629985999704,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375
S001,O01,109.2432319,23.0335927,109.2308517,23.0085095,154.0,127.7,3053.9788435184996,223.05661010742188,109.23874051377057,23.024494013267415,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219
S001,S002,109.2432319,23.0335927,109.2585519,23.0703271,154.0,189.5,4360.597539148686,259.2448425292969,109.25444469270083,23.060480928350618,309.2448425292969,184.0,219.5,125.24484252929688,89.74484252929688
S001,S003,109.2432319,23.0335927,109.1688578,23.0402714,154.0,308.5,7658.743084974101,505.94439697265625,109.18879834621653,23.038484259927817,555.9443969726562,184.0,338.5,371.94439697265625,217.44439697265625
S001,S004,109.2432319,23.0335927,109.2381714,23.0778414,154.0,198.3,4927.678447010787,358.7777404785156,109.24030982637977,23.059146710450463,408.7777404785156,184.0,228.3,224.77774047851562,180.4777404785156
S001,S005,109.2432319,23.0335927,109.2283003,23.0561338,154.0,165.0,2928.040272387301,266.13800048828125,109.23538581141646,23.045438461821508,316.13800048828125,184.0,195.0,132.13800048828125,121.13800048828125
S001,S006,109.2432319,23.0335927,109.1997836,23.007714,154.0,284.8,5296.16785679757,343.9356384277344,109.20420131389548,23.010346280695135,393.9356384277344,184.0,314.8,209.93563842773438,79.13563842773436
S001,S007,109.2432319,23.0335927,109.1928191,23.0294186,154.0,318.5,5187.883229802976,389.17535400390625,109.20695185491012,23.030590416115277,439.17535400390625,184.0,348.5,255.17535400390625,90.67535400390625
S001,S008,109.2432319,23.0335927,109.2127472,23.0795113,154.0,240.9,5968.208405123096,316.78717041015625,109.21435620619964,23.077088612918512,366.78717041015625,184.0,270.9,182.78717041015625,95.88717041015627
S001,S009,109.2432319,23.0335927,109.2541424,23.0552989,154.0,200.0,2651.198773865906,243.22891235351562,109.25087504733878,23.04879938858612,293.2289123535156,184.0,230.0,109.22891235351562,63.228912353515625
S001,S010,109.2432319,23.0335927,109.2760168,23.0194009,154.0,321.6,3709.894180127748,381.0796813964844,109.27178687598266,23.021232483032005,431.0796813964844,184.0,351.6,247.07968139648438,79.47968139648435
S001,S011,109.2432319,23.0335927,109.2203356,23.0319231,154.0,182.1,2354.0924594173175,226.38790893554688,109.2347733285693,23.03297629105789,276.3879089355469,184.0,212.1,92.38790893554688,64.28790893554688
S001,S012,109.2432319,23.0335927,109.2831357,23.054464,154.0,249.8,4697.683538665447,385.599609375,109.2734763274082,23.049413276402497,435.599609375,184.0,279.8,251.599609375,155.799609375
S001,S013,109.2432319,23.0335927,109.2713839,23.0310882,154.0,321.7,2898.825752847234,328.3608093261719,109.27080345689943,23.03113988975571,378.3608093261719,184.0,351.7,194.36080932617188,26.660809326171886
S001,S014,109.2432319,23.0335927,109.2835966,23.0052097,154.0,321.0,5196.211104521405,542.6727294921875,109.27824663115656,23.00897288541755,592.6727294921875,184.0,351.0,408.6727294921875,241.6727294921875
