start_node,end_node,start_lon_deg,start_lat_deg,end_lon_deg,end_lat_deg,start_ground_elev_m,end_ground_elev_m,horizontal_distance_m,max_terrain_elev_m,max_terrain_lon_deg,max_terrain_lat_deg,cruise_altitude_m,start_work_altitude_m,end_work_altitude_m,climb_height_m,descent_height_m,model_id,payload_kg,climb_time_s,cruise_time_s,descent_time_s,total_time_s,equivalent_range_m,horizontal_energy_kwh,climb_energy_kwh,total_energy_kwh,energy_formula_status
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,A,0.0,48.452203369140626,254.49823695987496,35.62264404296875,338.57308437198435,25000.0,0.54971619183333,0.03849625695821621,0.5882124487915462,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,A,0.0,144.70137939453124,605.264938046375,89.3216552734375,839.2879727143438,25000.0,1.3073722661801699,0.1149681768018016,1.4223404429819715,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,A,0.0,102.64551188151042,398.7079043036358,33.61461425781249,534.9680304429587,25000.0,0.8612090732958533,0.08155393823668633,0.9427630115325396,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,A,0.0,148.03308512369793,500.78191430169085,38.9197021484375,687.7347015738263,25000.0,1.081688934891652,0.11761528448609011,1.1993042193777421,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,A,12.5,48.452203369140626,254.49823695987496,35.62264404296875,338.57308437198435,23232.23304703363,0.5915447201313259,0.04537058855789767,0.6369153086892235,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,A,12.5,144.70137939453124,605.264938046375,89.3216552734375,839.2879727143438,23232.23304703363,1.4068517041962736,0.1354982083735519,1.5423499125698255,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,A,12.5,102.64551188151042,398.7079043036358,33.61461425781249,534.9680304429587,23232.23304703363,0.9267394481110969,0.09611714149323745,1.0228565896043342,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,A,12.5,148.03308512369793,500.78191430169085,38.9197021484375,687.7347015738263,23232.23304703363,1.1639958723530515,0.1386180138586062,1.3026138862116576,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,A,23.75,48.452203369140626,254.49823695987496,35.62264404296875,338.57308437198435,20370.272686215743,0.6746549252201648,0.051557486997611,0.7262124122177758,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,A,23.75,144.70137939453124,605.264938046375,89.3216552734375,839.2879727143438,20370.272686215743,1.6045100209493626,0.15397523678812716,1.7584852577374896,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,A,23.75,102.64551188151042,398.7079043036358,33.61461425781249,534.9680304429587,20370.272686215743,1.0569434766067474,0.10922402442413347,1.1661675010308807,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,A,23.75,148.03308512369793,500.78191430169085,38.9197021484375,687.7347015738263,20370.272686215743,1.3275336952455412,0.15752047029387067,1.4850541655394118,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,B,0.0,48.452203369140626,203.59858956789998,35.62264404296875,287.67343698000934,28000.0,0.4362826919312142,0.035746524318343624,0.47202921624955785,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,B,0.0,144.70137939453124,484.21195043710003,89.3216552734375,718.2349851050687,28000.0,1.0375970366509286,0.1067561641731015,1.14435320082403,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
